Community,PerDis,PopCom,Poverty,LabFrc_rev,HsChr_rev,RetMig,Region,PerDisCat,PopComCat,PovertyCat,LabFrc_revCat,HsChr_rev_Cat,RetMigCat
Añasco,-0.096,0.167,0.317,0.712,0.401,0.7,PR,1,2,2,3,2,3
Adjuntas  ,0.753,0.101,1.29,0.827,0.787,0.734,PR,3,2,4,3,3,3
Aguada  ,1.195,-0.257,0.723,0.34,0.565,0.08,PR,4,1,3,2,3,2
Aguadilla  ,0.588,0.24,0.716,0.835,0.628,0.808,PR,3,2,3,3,3,3
Aguas Buenas  ,-0.361,0.529,0.433,0.984,0.087,0.898,PR,1,3,2,3,2,3
Aibonito  ,0.249,0.441,0.503,1.027,0.787,0.901,PR,2,2,3,4,3,3
Anna's Hope Village  ,-1.961,-1.073,-1.781,-1.426,-0.781,-1.201,STX,1,1,1,1,1,1
Arecibo  ,0.142,0.353,0.215,0.885,0.806,1.065,PR,2,2,2,3,3,4
Arroyo  ,1.315,0.586,0.615,0.485,0.372,0.55,PR,4,3,3,2,2,3
Barceloneta  ,0.427,0.475,0.357,0.66,0.702,0.376,PR,2,2,2,3,3,2
Barranquitas  ,-0.099,0.579,0.816,0.8,0.595,0.287,PR,1,3,3,3,3,2
Bayamón,0.434,0.4,-0.582,-0.113,0.331,0.335,PR,2,2,1,1,2,2
Cabo Rojo  ,-0.165,-0.125,0.291,0.728,-0.75,1.171,PR,1,1,2,3,1,4
Caguas  ,0.221,0.481,-0.447,-0.066,0.503,0.118,PR,2,2,1,1,3,2
Camuy  ,-0.033,-0.019,0.523,0.687,0.656,0.554,PR,1,1,3,3,3,3
Canóvanas,0.161,0.407,-0.11,-0.313,0.326,-0.3,PR,2,2,1,1,2,1
Carolina  ,0.189,0.453,-1,-0.303,-0.249,0.008,PR,2,2,1,1,1,2
Cataño,1.199,1.387,0.369,-0.305,0.634,-0.253,PR,4,4,2,1,3,1
Cayey  ,0.381,0.498,-0.075,0.263,0.375,0.575,PR,2,2,1,2,2,3
Ceiba  ,1.01,0.393,0.071,0.117,0.166,-0.078,PR,4,2,2,2,2,1
Central  ,-1.729,-2.354,-2.474,-3.066,-2.445,-3.124,STJ,1,1,1,1,1,1
Charlotte Amalie  ,-1.534,-0.245,-0.143,-1.828,-1.945,-1.757,STT,1,1,1,1,1,1
Christiansted  ,-1.404,-0.462,-1.532,-1.385,-0.932,-1.794,STX,1,1,1,1,1,1
Ciales  ,0.828,0.558,1.121,0.855,0.841,0.891,PR,3,3,4,3,3,3
Cidra  ,0.355,0.491,-0.132,0.002,0.207,-0.102,PR,2,2,1,2,2,1
Coamo  ,0.311,0.313,0.558,0.767,0.857,0.516,PR,2,2,3,3,3,3
Comerío,-0.243,0.57,0.933,1.085,0.477,0.734,PR,1,3,3,4,2,3
Coral Bay  ,-1.826,-2.627,-2.335,-2.383,-2.651,-2.441,STJ,1,1,1,1,1,1
Corozal  ,-0.403,0.172,0.866,1.109,0.283,0.814,PR,1,2,3,4,2,3
Cruz Bay  ,-2.133,-2.164,-2.26,-2.525,-3.096,-2.647,STJ,1,1,1,1,1,1
Culebra  ,-0.937,0.369,-0.776,-0.765,-0.894,-0.655,PR,1,2,1,1,1,1
Dorado  ,0.35,0.276,-0.672,-0.146,-0.463,-0.272,PR,2,2,1,1,1,1
East End  ,-1.934,-3.168,-2.056,-1.457,-1.88,-1.107,STX,1,1,1,1,1,1
East End  ,-2.526,-3.473,-1.912,-0.52,-2.654,1.005,STJ,1,1,1,1,1,4
East End  ,-1.824,-1.202,-1.636,-2.238,-2.3,-2.046,STT,1,1,1,1,1,1
Fajardo  ,0.531,0.666,-0.089,0.266,0.254,0.605,PR,3,3,1,2,2,3
Florida  ,-0.612,0.076,0.509,0.601,0.848,0.35,PR,1,2,3,3,3,2
Frederiksted  ,-1.127,0.351,-1.177,-1.089,-0.429,-1.461,STX,1,2,1,1,1,1
Guánica,1.101,0.38,1.238,0.898,0.857,1.049,PR,4,2,4,3,3,4
Guayama  ,1.219,0.446,0.118,-0.002,0.39,-0.127,PR,4,2,2,1,2,1
Guayanilla  ,0.781,0.626,0.771,0.789,1.011,0.813,PR,3,3,3,3,4,3
Guaynabo  ,0.263,-0.09,-1.047,-0.731,-0.296,-0.439,PR,2,1,1,1,1,1
Gurabo  ,-0.43,0.178,-0.632,-0.339,0.254,-0.534,PR,1,2,1,1,2,1
Hatillo  ,0.649,0.279,0.321,0.384,0.597,0.337,PR,3,2,2,2,3,2
Hormigueros  ,-0.089,0.302,-0.983,0.555,0.279,1.179,PR,1,2,1,3,2,4
Humacao  ,0.216,0.394,0.164,0.735,0.267,0.779,PR,2,2,2,3,2,3
Isabela  ,0.251,0.139,0.8,0.971,0.824,0.823,PR,2,2,3,3,3,3
Jayuya  ,0.464,0.389,0.75,0.015,0.778,-0.045,PR,2,2,3,2,3,1
Juana Díaz  ,0.742,0.577,0.83,-0.231,0.301,-0.501,PR,3,3,3,1,2,1
Juncos  ,0.63,0.275,0.217,0.137,1.052,-0.173,PR,3,2,2,2,4,1
Lajas  ,0.467,0.252,0.707,1.393,0.206,1.59,PR,2,2,3,4,2,4
Lares  ,0.573,0.085,1.301,0.617,0.894,0.534,PR,3,2,4,3,3,3
Las Marías  ,0.023,-0.083,1.119,0.39,0.571,-0.242,PR,2,1,4,2,3,1
Las Piedras  ,0.462,0.378,0.35,0.404,0.434,0.056,PR,2,2,2,2,2,2
Loíza,0.657,1.109,0.023,-0.394,0.106,-0.573,PR,3,4,2,1,2,1
Luquillo  ,0.64,0.432,0.176,-0.26,0.056,-0.109,PR,3,2,2,1,2,1
Manatí  ,0.635,0.383,0.481,0.455,0.171,0.587,PR,3,2,2,2,2,3
Maricao  ,-0.269,0.844,1.64,0.418,0.387,0.059,PR,1,3,4,2,2,2
Maunabo  ,0.538,0.015,0.883,0.927,0.58,1.121,PR,3,2,3,3,3,4
Mayagüez,0.45,0.244,0.589,0.636,0.487,0.841,PR,2,2,3,3,2,3
Moca  ,0.996,0.02,0.844,0.579,0.446,0.087,PR,3,2,3,3,2,2
Morovis  ,0.903,0.525,1.069,0.664,0.833,0.206,PR,3,3,4,3,3,2
Naguabo  ,0.42,0.138,0.518,0.732,0.284,0.446,PR,2,2,3,3,2,2
Naranjito  ,-0.596,0.123,0.674,1.425,0.41,1.24,PR,1,2,3,4,2,4
Northcentral  ,-1.566,-0.831,-1.259,-1.052,-1.217,-0.778,STX,1,1,1,1,1,1
Northside  ,-1.952,-2.392,-1.859,-2.439,-2.555,-2.303,STT,1,1,1,1,1,1
Northwest  ,-1.322,-0.132,-0.832,-1.037,-0.605,-0.993,STX,1,1,1,1,1,1
Orocovis  ,1.151,0.507,1.247,0.475,0.994,0.301,PR,4,3,4,2,3,2
Patillas  ,1.356,0.087,0.797,1.115,0.592,1.047,PR,4,2,3,4,3,4
Peñuelas,0.573,0.814,1.042,0.505,0.8,-0.002,PR,3,3,4,3,3,1
Ponce  ,0.656,0.656,0.34,0.178,0.797,0.236,PR,3,3,2,2,3,2
Quebradillas  ,0.924,0.244,0.859,1.251,1.088,1.047,PR,3,2,3,4,4,4
Rincón,0.695,-0.17,0.39,0.379,0.22,0.67,PR,3,1,2,2,2,3
Río Grande  ,0.743,0.444,-0.109,-0.082,0.193,0.041,PR,3,2,1,1,2,2
Sabana Grande  ,0.893,0.443,0.309,0.665,0.716,0.79,PR,3,2,2,3,3,3
Salinas  ,1.169,0.77,1.116,0.291,0.334,0.219,PR,4,3,4,2,2,2
San Germán,-0.297,0.176,0.51,0.927,0.508,1.33,PR,1,2,3,3,3,4
San Juan  ,0.434,0.475,-0.309,-0.452,0.05,-0.151,PR,2,2,1,1,2,1
San Lorenzo  ,0.387,0.238,0.202,0.388,0.222,0.259,PR,2,2,2,2,2,2
San Sebastián,0.334,0.077,0.998,1.283,0.752,1.497,PR,2,2,3,4,3,4
Santa Isabel  ,1.545,0.702,0.25,-0.108,0.454,-0.373,PR,4,3,2,1,2,1
Sion Farm  ,-1.611,-0.678,-0.509,-1.269,-1.505,-1.174,STX,1,1,1,1,1,1
Southcentral  ,-1.799,-0.425,-0.926,-1.052,-0.788,-1.32,STX,1,1,1,1,1,1
Southside  ,-1.652,-0.861,-1.543,-2.146,-2.319,-2.111,STT,1,1,1,1,1,1
Southwest  ,-1.499,-0.447,-1.082,-0.896,-0.746,-0.77,STX,1,1,1,1,1,1
Toa Alta  ,-0.113,0.461,-0.113,-0.238,0.11,-0.775,PR,1,2,1,1,2,1
Toa Baja  ,0.311,0.458,-0.362,-0.413,0.215,-0.393,PR,2,2,1,1,2,1
Trujillo Alto  ,-0.137,0.258,-0.695,-0.701,0.126,-0.829,PR,1,2,1,1,2,1
Tutu  ,-1.609,0.052,-1.431,-1.174,-0.757,-0.253,STT,1,2,1,1,1,1
Utuado  ,0.905,0.115,1.154,0.854,0.799,1.198,PR,3,2,4,3,3,4
Vega Alta  ,0.502,0.517,0.575,0.614,0.198,0.576,PR,3,3,3,3,2,3
Vega Baja  ,0.637,0.52,0.418,0.954,0.414,0.847,PR,3,3,2,3,2,3
Vieques  ,-0.024,0.471,0.295,0.378,0.074,0.886,PR,1,2,2,2,2,3
Villalba  ,0.881,0.706,0.886,-0.148,0.861,-0.262,PR,3,3,3,1,3,1
Water Island  ,-1.83,-5.368,-2.612,-1.559,-2.564,-1.6,STT,1,1,1,1,1,1
West End  ,-1.815,-1.257,-2.067,-2.122,-1.763,-1.936,STT,1,1,1,1,1,1
Yabucoa  ,0.96,0.531,0.623,0.993,0.444,0.879,PR,3,3,3,3,2,3
Yauco  ,0.784,0.317,0.736,0.366,0.662,0.353,PR,3,2,3,2,3,2
