,Accumulated cyclone energy index
,Tropical cyclone activity (10^4 kt^2)
,
1961,0.6075
1962,0
1963,1.085
1964,1.5625
1965,0
1966,6.33
1967,4.2125
1968,0
1969,0
1970,0
1971,0.1875
1972,0
1973,0.27
1974,0.3025
1975,1.23
1976,0
1977,0
1978,0
1979,8.0825
1980,0
1981,1.3175
1982,0
1983,0
1984,1.5175
1985,0
1986,0
1987,0.0225
1988,0.45
1989,6.4425
1990,0.5
1991,0
1992,0
1993,0.1225
1994,0
1995,7.41
1996,4.0075
1997,0
1998,4.7775
1999,9.1725
2000,1.2675
2001,0.4525
2002,0
2003,0.16
2004,2.535
2005,0
2006,0.25
2007,0.25
2008,2.4375
2009,0.09
2010,2.645
2011,3.225
2012,0.6125
2013,0.27
2014,1.13
2015,0.81
2016,0
2017,14.94
2018,0
2019,2.015
2020,1.32
2021,0.605
2022,3.4575
2023,0
2024,0
