,U.S. Caribbean sea surface temperature,U.S. Caribbean sea surface temperature,U.S. Caribbean sea surface temperature
,Degrees Celsius,Degrees Celsius,Degrees Celsius
,monthly mean,monthly minimum,monthly maximum
198201,26.5234667278397,25.9889873794363,27.044177188149
198202,26.0229746808195,25.5858227693582,26.5270886240126
198203,25.739922433544,25.1430379891697,26.614303951022
198204,26.3261012548133,24.6965822630291,26.8893671397921
198205,26.7423152214851,25.0551897845691,27.4825317044801
198206,27.5998059019258,27.199493625496,28.2758228446864
198207,27.7750469657926,26.8017721538302,28.4200000762939
198208,28.0420334879453,27.296582282344,28.6110126640223
198209,28.3647848129272,27.8205064459692,29.1221519663364
198210,28.4702123429348,27.3831643454636,29.1774683360812
198211,27.7501983232136,27.1381012638913,28.220379744904
198212,26.7252429621032,26.2203797207603,27.3254430505294
198301,26.1580645084965,25.5413924108578,26.735949335219
198302,26.2157775851313,25.8950632795503,26.865569537199
198303,26.5010412371173,25.9467089447794,26.9607594646985
198304,26.8169493655112,26.4429113895078,27.4703797690476
198305,27.6964597916204,26.7584811343422,28.491518986376
198306,27.6957299896433,26.7153165310244,28.5130380799499
198307,27.7543160324439,26.2426582046702,28.920759539061
198308,28.3290894345976,27.2416455956954,28.88050629821
198309,28.2542109750997,26.8256961967372,28.908227799814
198310,28.5341404844372,28.145316498189,29.1150631964961
198311,28.289573819929,27.81215194509,29.0670885255065
198312,27.3166312914374,26.7982277930537,27.9192404928087
198401,26.7043364631151,26.3050632718243,27.1396202859999
198402,25.9252116970494,25.3313924813572,26.3320253589485
198403,26.1800898282856,25.8663290241097,27.1469620088988
198404,26.750324901951,25.8221518601043,27.0292405478562
198405,26.9846427211863,26.2510126572621,27.5813925296445
198406,27.007084388572,26.2356962131549,27.9677216735067
198407,27.2773662892689,25.8472151937364,28.6541771707655
198408,27.7805675780739,26.7164556044566,28.7422784249994
198409,28.0811308019775,27.0522784945331,28.7970885989032
198410,28.0788403639943,27.5643038447899,28.8127848709686
198411,27.2383291172076,26.9630379737178,27.5083544525919
198412,26.4032829848539,25.6188606793367,27.1875950294205
198501,25.8562597046584,25.3344304289999,26.1464557164832
198502,25.772179005159,25.5239240429069,25.9518988404093
198503,25.7153164508052,24.9244302677203,26.2905063870587
198504,26.0190717117696,25.605316258684,26.416835446901
198505,26.7412576476814,26.2659492734112,27.6906330494941
198506,27.5198692015958,26.4196202724795,28.378987372676
198507,27.9738219795835,26.9208860518057,28.6677215189873
198508,28.3278276794733,27.4794937809811,28.8578482036349
198509,28.3765780533416,27.4644303865071,29.2318987544579
198510,27.8323642096747,27.0992404599733,28.2792404754252
