,Average monthly degree heating weeks,Average monthly degree heating weeks
,degree Celsius-weeks,degree Celsius-weeks
,Puerto Rico,USVI
198501,0,0
198502,0,0
198503,0,0
198504,0,0
198505,0,0
198506,0,0
198507,0,0
198508,0,0
198509,0,0
198510,0,0
198511,0,0
198512,0,0
198601,0,0
198602,0,0
198603,0,0
198604,0,0
198605,0,0
198606,0,0
198607,0,0
198608,0,0
198609,0,0
198610,0,0
198611,0,0
198612,0,0
198701,0,0
198702,0,0
198703,0,0
198704,0,0
198705,0,0
198706,0,0
198707,0,0
198708,0.150996774193548,0.0294967741935484
198709,1.52312666666667,1.65523
198710,2.65582258064516,2.75824838709677
198711,2.94495666666667,3.397
198712,1.20943870967742,1.42170322580645
198801,0.392632258064516,0.7258
198802,0,0
198803,0,0
198804,0,0
198805,0,0
198806,0,0
198807,0,0
198808,0,0
198809,0,0
198810,0,0
198811,0,0
198812,0,0
198901,0,0
198902,0,0
198903,0,0
198904,0,0
198905,0,0
198906,0,0
198907,0,0
198908,0.114270967741935,0
198909,0.3371,0
198910,0.3371,0
198911,0.140363333333333,0
198912,0,0
199001,0,0
199002,0,0
199003,0,0
199004,0,0
199005,0,0
199006,0,0
199007,0,0
199008,0,0
199009,0.07472,0
199010,1.09451935483871,0.1814
199011,1.15,0.1814
199012,0.836396774193548,0.134587096774194
199101,0,0
199102,0,0
199103,0,0
199104,0,0
199105,0,0
199106,0,0
199107,0,0
199108,0,0
199109,0,0
199110,0,0
199111,0,0
199112,0,0
199201,0,0
199202,0,0
199203,0,0
199204,0,0
199205,0,0
199206,0,0
199207,0,0
199208,0,0
199209,0,0
199210,0,0
199211,0,0
199212,0,0
199301,0,0
199302,0,0
199303,0,0
199304,0,0
199305,0,0
199306,0,0
199307,0,0
199308,0,0
199309,0,0
199310,0,0
199311,0,0
199312,0,0
199401,0,0
199402,0,0
199403,0,0
199404,0,0
199405,0,0
199406,0,0
199407,0,0
199408,0,0
199409,0,0
199410,0,0
199411,0,0
199412,0,0
199501,0,0
199502,0,0
199503,0,0
199504,0,0
199505,0,0
199506,0,0
199507,0,0
199508,0,0
199509,0.57724,0.275046666666667
199510,0.63,0.3
199511,0.53576,0.254953333333333
199512,0,0
199601,0,0
199602,0,0
199603,0,0
199604,0,0
199605,0,0
199606,0,0
199607,0,0
199608,0,0
199609,0,0
199610,0,0
199611,0,0
199612,0,0
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,0
199706,0,0
199707,0,0
199708,0,0
199709,0,0.117223333333333
199710,0.107061290322581,0.1529
199711,0.1443,0.1529
199712,0.1443,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,0,0
199806,0.112746666666667,0
199807,0.2114,0
199808,0.584548387096774,1.07810967741935
199809,2.31925333333333,3.41451333333333
199810,2.50013548387097,4.31601935483871
199811,1.65457666666667,2.65613666666667
199812,0.123306451612903,0.614058064516129
199901,0,0.0279290322580645
199902,0,0
199903,0,0
199904,0,0
199905,0,0
199906,0,0
199907,0,0
199908,0.0115225806451613,0.0114258064516129
199909,1.6879,2.32539333333333
199910,3.31377096774194,3.81343870967742
199911,3.30946,3.66307333333333
199912,1.15319032258065,0.815929032258064
200001,0.0144709677419355,0
200002,0,0
200003,0,0
200004,0,0
200005,0,0
200006,0,0
200007,0,0
200008,0,0
200009,0.104733333333333,0.1076
200010,0.176274193548387,0.1614
200011,0.3057,0.1614
200012,0.163803225806452,0.0156193548387097
200101,0.0910774193548387,0
200102,0,0
200103,0,0
200104,0,0
200105,0,0
200106,0,0
200107,0,0
200108,0,0.0634903225806452
200109,0.605643333333333,0.893573333333333
200110,1.3729,2.20721290322581
200111,1.34808666666667,2.27289
200112,0.456503225806452,1.1005064516129
200201,0,0.0638258064516129
200202,0,0
200203,0,0
200204,0,0
200205,0,0
200206,0,0
200207,0,0
200208,0,0
200209,0.10199,0.0576333333333333
200210,0.1457,0.901606451612903
200211,0.1457,1.1329
200212,0.0094,1.00177096774194
200301,0,0.0142870967741935
200302,0,0
200303,0,0
200304,0,0
200305,0,0
200306,0,0
200307,0,0
200308,0,0
200309,0.326763333333333,0.375183333333333
200310,1.51628387096774,2.17140322580645
200311,1.7971,3.0786
200312,1.18550967741935,2.32644838709677
200401,0.112441935483871,0.501751612903226
200402,0,0
200403,0,0
200404,0,0
200405,0,0
200406,0,0
200407,0,0
200408,0,0
200409,0,0.02419
200410,0.451958064516129,1.28372580645161
200411,0.7771,1.79
200412,0.7771,1.65415161290323
200501,0.124603225806452,0.156777419354839
200502,0,0
200503,0,0
200504,0,0
200505,0,0
200506,0,0.0271933333333333
200507,0,0.628929032258065
200508,1.12379677419355,2.75374193548387
200509,5.69561333333333,8.55042666666667
200510,11.0157580645161,14.5115580645161
200511,9.60661333333333,12.53995
200512,4.07225483870968,5.77373870967742
200601,0.0750709677419355,0.45441935483871
200602,0,0
200603,0,0
200604,0,0
200605,0,0
200606,0,0
200607,0,0
200608,0,0
200609,1.06395,1.66991666666667
200610,4.76117419354839,6.13586129032258
200611,5.00559,6.74376333333333
200612,2.93953225806452,3.77224193548387
200701,0.00483870967741936,0.239948387096774
200702,0,0
200703,0,0
200704,0,0
200705,0,0
200706,0,0
200707,0,0
200708,0,0.027658064516129
200709,0.112276666666667,0.605986666666667
200710,0.3214,1.2729
200711,0.3214,1.21097666666667
200712,0.129803225806452,0.390235483870968
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,0
200806,0,0
200807,0,0
200808,0.0154354838709677,0.0353967741935484
200809,0.765613333333333,1.25790333333333
200810,0.9314,2.12421935483871
200811,0.771356666666667,1.99069333333333
200812,0.0895806451612903,0.491493548387097
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,0,0
200906,0,0
200907,0,0
200908,0,0
200909,0.0612866666666667,0.08943
200910,0.79,1.19394516129032
200911,0.79,1.1986
200912,0.52681935483871,0.807387096774194
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,0,0
201006,0,0
201007,0,0
201008,1.43212258064516,2.04801612903226
201009,6.49109666666667,7.34815333333333
201010,8.46632580645161,9.13720322580645
201011,6.69976,6.38803333333333
201012,2.04708709677419,1.83263870967742
201101,0.462022580645161,0.344564516129032
201102,0,0
201103,0,0
201104,0,0
201105,0,0
201106,0,0
201107,0,0
201108,0,0.0829741935483871
201109,0.80635,0.799166666666667
201110,1.68133548387097,1.30088709677419
201111,1.65566666666667,1.16698333333333
201112,0.569616129032258,0.355970967741935
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,0,0
201206,0,0
201207,0,0
201208,0,0
201209,0.662476666666667,0.778716666666667
201210,2.01838387096774,3.4838935483871
201211,2.18,3.7314
201212,1.12368709677419,2.24584516129032
201301,0.014241935483871,0.0165451612903226
201302,0,0
201303,0,0
201304,0,0
201305,0,0
201306,0,0
201307,0,0
201308,0,0
201309,0.226623333333333,0.357336666666667
201310,2.31909032258065,3.2046
201311,2.5886,3.6257
201312,1.91489677419355,2.63966451612903
201401,0.055858064516129,0.125670967741935
201402,0,0
201403,0,0
201404,0,0
201405,0,0
201406,0,0
201407,0,0
201408,0,0
201409,0,0
201410,0.0512032258064516,0.267638709677419
201411,0.1443,0.4457
201412,0.1443,0.441
201501,0.055858064516129,0.067741935483871
201502,0,0
201503,0,0
201504,0,0
201505,0,0
201506,0,0
201507,0,0
201508,0,0
201509,0.118286666666667,0.376096666666667
201510,1.65331612903226,3.46179677419355
201511,2.42,4.6229
201512,1.98958064516129,3.60503870967742
201601,0.458116129032258,0.621929032258065
201602,0,0
201603,0,0
201604,0,0
201605,0,0
201606,0,0
201607,0,0
201608,0,0
201609,0.294856666666667,0.489096666666667
201610,1.31,1.93289032258065
201611,1.42311333333333,2.26165
201612,0.865177419354839,1.37713870967742
201701,0.1786,0.31648064516129
201702,0.0191357142857143,0.0191357142857143
201703,0,0
201704,0,0
201705,0,0
201706,0,0
201707,0,0
201708,0.0138290322580645,0.038158064516129
201709,0.982956666666667,1.03934333333333
201710,1.24,1.0943
201711,1.09052,0.854486666666667
201712,0.0995806451612903,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,0,0
201806,0,0
201807,0,0
201808,0,0
201809,0,0
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,0,0
201906,0,0
201907,0,0
201908,0,0
201909,1.38714666666667,1.74814333333333
201910,5.99096774193548,6.84704838709677
201911,7.8671,8.88288333333333
201912,5.43714516129032,5.96138387096774
202001,0.933551612903226,0.988654838709677
202002,0,0
202003,0,0
202004,0,0
202005,0,0
202006,0,0
202007,0,0
202008,0,0
202009,0.704333333333333,0.930613333333333
202010,3.36324516129032,3.9403064516129
202011,3.5343,4.40113
202012,2.03341935483871,2.67341935483871
202101,0.0782387096774194,0.191667741935484
202102,0,0
202103,0,0
202104,0,0
202105,0,0
202106,0,0
202107,0,0
202108,0,0
202109,0.82252,1.3148
202110,3.66337741935484,5.02367419354839
202111,4.3829,5.7257
202112,2.80081935483871,3.34548709677419
202201,0.374461290322581,0.332254838709677
202202,0,0
202203,0,0
202204,0,0
202205,0,0
202206,0,0
202207,0,0
202208,0,0.0820290322580645
202209,1.23176333333333,1.51885
202210,1.94,2.1
202211,1.93471333333333,1.85695333333333
202212,0.252441935483871,0.241387096774194
202301,0,0
202302,0,0
202303,0,0
202304,0,0
202305,0,0
202306,0.00971333333333333,0
202307,0.246909677419355,0.120006451612903
202308,3.40272258064516,3.61612258064516
202309,9.49732666666667,10.0250433333333
202310,16.8692774193548,16.9910129032258
202311,17.4901833333333,17.0500966666667
202312,10.9425774193548,10.4289451612903
202401,2.96958709677419,3.07493870967742
202402,0,0.00497586206896552
202403,0,0
202404,0,0
202405,0.203409677419355,0.155583870967742
202406,3.47623333333333,2.86133
202407,8.30945806451613,8.02729032258065
202408,12.373264516129,12.6718935483871
202409,14.8520033333333,15.5543833333333
202410,19.0892677419355,19.8107806451613
202411,19.7723733333333,21.05405
202412,12.7288032258065,14.0358161290323
