,Ocean acidification
,Surface aragonite saturation
,
Jan1980,4.2979897
Feb1980,4.3007842
Mar1980,4.3055619
Apr1980,4.3207684
May1980,4.3632743
Jun1980,4.3894467
Jul1980,4.3982465
Aug1980,4.3857339
Sep1980,4.3705844
Oct1980,4.391654
Nov1980,4.3892833
Dec1980,4.3612518
Jan1981,4.3480372
Feb1981,4.339532
Mar1981,4.3552351
Apr1981,4.3578641
May1981,4.3755305
Jun1981,4.3762916
Jul1981,4.3842805
Aug1981,4.3738749
Sep1981,4.3998264
Oct1981,4.4054696
Nov1981,4.3923098
Dec1981,4.3392734
Jan1982,4.3130118
Feb1982,4.3017415
Mar1982,4.293162
Apr1982,4.3205225
May1982,4.3370473
Jun1982,4.3615821
Jul1982,4.3815031
Aug1982,4.3939111
Sep1982,4.4120231
Oct1982,4.4225225
Nov1982,4.3951447
Dec1982,4.3682455
Jan1983,4.3273648
Feb1983,4.3122359
Mar1983,4.302712
Apr1983,4.2857302
May1983,4.3110683
Jun1983,4.3349021
Jul1983,4.356671
Aug1983,4.3643287
Sep1983,4.3686943
Oct1983,4.3553962
Nov1983,4.3577974
Dec1983,4.3492399
Jan1984,4.338844
Feb1984,4.324804
Mar1984,4.3163703
Apr1984,4.3336872
May1984,4.3505014
Jun1984,4.3760093
Jul1984,4.3990267
Aug1984,4.4213565
Sep1984,4.4377926
Oct1984,4.4428111
Nov1984,4.4154878
Dec1984,4.3786875
Jan1985,4.3285714
Feb1985,4.315041
Mar1985,4.3067158
Apr1985,4.3085877
May1985,4.3402616
Jun1985,4.3681696
Jul1985,4.3769042
Aug1985,4.3846536
Sep1985,4.3727777
Oct1985,4.3580368
Nov1985,4.3566197
Dec1985,4.3288313
Jan1986,4.2937565
Feb1986,4.2849106
Mar1986,4.2936857
Apr1986,4.3143255
May1986,4.348975
Jun1986,4.3486793
Jul1986,4.3442019
Aug1986,4.3451194
Sep1986,4.3339327
Oct1986,4.3530339
Nov1986,4.3323427
Dec1986,4.2850409
Jan1987,4.264586
Feb1987,4.2590593
Mar1987,4.2701862
Apr1987,4.2740022
May1987,4.3050175
Jun1987,4.3211345
Jul1987,4.3214537
Aug1987,4.3463325
Sep1987,4.3725772
Oct1987,4.3741853
Nov1987,4.3393261
Dec1987,4.3205893
Jan1988,4.306074
Feb1988,4.2816
Mar1988,4.274426
Apr1988,4.2869717
May1988,4.3285656
Jun1988,4.3526938
Jul1988,4.3632119
Aug1988,4.3741789
Sep1988,4.3696513
Oct1988,4.3772199
Nov1988,4.3474068
Dec1988,4.3168256
Jan1989,4.2910744
Feb1989,4.2827965
Mar1989,4.2787698
Apr1989,4.2843928
May1989,4.2947677
Jun1989,4.2972658
Jul1989,4.3075323
Aug1989,4.3042368
Sep1989,4.3040206
Oct1989,4.3249064
Nov1989,4.3037478
Dec1989,4.2984125
Jan1990,4.2669443
Feb1990,4.2219708
Mar1990,4.2105563
Apr1990,4.2132602
May1990,4.2356181
Jun1990,4.2665246
Jul1990,4.2729072
Aug1990,4.2885209
Sep1990,4.3268371
Oct1990,4.3473601
Nov1990,4.3465843
Dec1990,4.3024935
Jan1991,4.2399266
Feb1991,4.2253889
Mar1991,4.2122416
Apr1991,4.2002631
May1991,4.2202135
Jun1991,4.2366129
Jul1991,4.2564551
Aug1991,4.2939371
Sep1991,4.3120767
Oct1991,4.3133228
Nov1991,4.3108085
Dec1991,4.271007
Jan1992,4.2481884
Feb1992,4.2493372
Mar1992,4.2554082
Apr1992,4.2861707
May1992,4.30136
Jun1992,4.3090443
Jul1992,4.3134241
Aug1992,4.323721
Sep1992,4.3347131
Oct1992,4.3530927
Nov1992,4.3281536
Dec1992,4.2999266
Jan1993,4.2627452
Feb1993,4.2451007
Mar1993,4.2495962
Apr1993,4.255601
May1993,4.2552904
Jun1993,4.2680333
Jul1993,4.2704905
Aug1993,4.2781785
Sep1993,4.3021636
Oct1993,4.3198554
Nov1993,4.3000665
Dec1993,4.2711171
Jan1994,4.247513
Feb1994,4.2273789
Mar1994,4.2334655
Apr1994,4.245214
May1994,4.2673099
Jun1994,4.2890732
Jul1994,4.2871455
Aug1994,4.2907186
Sep1994,4.2580255
Oct1994,4.2630577
Nov1994,4.2522688
Dec1994,4.2542354
Jan1995,4.2619019
Feb1995,4.2661274
Mar1995,4.2699009
Apr1995,4.2962487
May1995,4.346803
Jun1995,4.3758118
Jul1995,4.3991631
Aug1995,4.4352741
Sep1995,4.4299894
Oct1995,4.4233767
Nov1995,4.4082603
Dec1995,4.384029
Jan1996,4.3688639
Feb1996,4.3500634
Mar1996,4.3515225
Apr1996,4.333541
May1996,4.3270251
Jun1996,4.3369826
Jul1996,4.345481
Aug1996,4.3442041
Sep1996,4.3469545
Oct1996,4.3232602
Nov1996,4.3131311
Dec1996,4.2944657
Jan1997,4.2638007
Feb1997,4.239647
Mar1997,4.2336333
Apr1997,4.2532437
May1997,4.2854698
Jun1997,4.3142202
Jul1997,4.3186768
Aug1997,4.2975825
Sep1997,4.309259
Oct1997,4.3055622
Nov1997,4.2808425
Dec1997,4.2658583
Jan1998,4.234546
Feb1998,4.2452239
Mar1998,4.2380633
Apr1998,4.2571568
May1998,4.3006357
Jun1998,4.3164018
Jul1998,4.3045132
Aug1998,4.3276529
Sep1998,4.3396309
Oct1998,4.3414801
Nov1998,4.3209434
Dec1998,4.2569651
Jan1999,4.1999956
Feb1999,4.1789081
Mar1999,4.183438
Apr1999,4.198044
May1999,4.2333101
Jun1999,4.2488086
Jul1999,4.2696992
Aug1999,4.2909458
Sep1999,4.3108631
Oct1999,4.3160931
Nov1999,4.3016746
Dec1999,4.2662264
Jan2000,4.2191223
Feb2000,4.199651
Mar2000,4.1863721
Apr2000,4.1949339
May2000,4.2182603
Jun2000,4.2330088
Jul2000,4.2310973
Aug2000,4.1973168
Sep2000,4.2136298
Oct2000,4.2261596
Nov2000,4.2325725
Dec2000,4.1843825
