,Queen triggerfish,Red hind,Lane snapper,Yellowtail snapper,Redband parrotfish,Stoplight parrotfish
,Density,Density,Density,Density,Density,Density
,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico
2001,0.314779103078488,0.322583188900171,0.0703566589710392,1.55863661541037,4.63300097097026,2.10857190168822
2002,0.202615210832493,0.241755921384379,0.0339654913225831,1.06517823532441,3.59334307860088,1.78291424681941
2003,0.0708252981926599,0.0476130652637843,0.0803897721407183,1.14590600382768,3.05157570425965,2.17557727978984
2004,0.0783992687647131,0.236849902423302,0,0.942706694069384,3.49809143272382,1.52787816079739
2005,0.0556342285608085,0.110072138282553,0.00838995453316149,0.685658789812796,3.09417502343611,1.07851933992156
2006,0.259348580773951,0.0205997662878136,0.0261020807698357,1.414362262353,4.81256496463595,1.49188553426594
2007,0.328809044350619,0.241488149334282,0.0659412990082113,2.02836158021329,4.98369729318285,1.7226936733937
2008,0.374276843597656,0.079614148592111,0,1.44778382929618,4.08379598734876,0.968962844289377
2009,0.402627069177975,0.0840671777733962,0.0269714788707867,2.28766533500747,3.55357889973151,1.37518901158437
2010,0.419884041795165,0.0828675528153668,0.129639379714302,1.3229245361252,3.55506295389117,1.74612837136297
2011,0.390520588523286,0.148794534120868,0.077695603459633,2.79983394355335,3.84759866765343,1.77083356860336
2012,0.384034940691493,0.171472077152474,0.0709270792431103,5.19809793291847,4.62230861755419,0.688256604038589
2014,0.474353343755075,0.188053324980425,0.200990330385343,2.41228824260324,3.77106930480226,1.56121402238383
2016,0.40733622688491,0.445783710337257,0.619137301514621,1.38822370430276,4.33088539585915,1.06481477680343
2019,0.648111572895494,0.519301267335636,0.374551268636159,2.65522426021191,2.9325116345229,1.20514905866199
2021,0.548054862429756,0.561766415281749,0.142458140339502,2.66133984506014,4.40864899832052,0.861198440418555
2023,0.462894382621071,0.504415151700235,0.176677461094577,2.13694884876128,3.15149012372504,1.10012529227586
