,Queen triggerfish,Red hind,Lane snapper,Yellowtail snapper,Redband parrotfish,Stoplight parrotfish
,Density,Density,Density,Density,Density,Density
,St. Thomas and St. John,St. Thomas and St. John,St. Thomas and St. John,St. Thomas and St. John,St. Thomas and St. John,St. Thomas and St. John
2001,0,1.12780479546966,0,1.01813584737676,4.5590815764645,4.53680703772424
2002,0.612364804360657,1.01140879676945,0.0795644527191938,0.529061403394816,7.75628309501847,2.24887765594381
2003,1.03960976139086,0.691020816781143,0.018196830067234,1.00274101150707,5.0269075945692,2.53244995889887
2004,0.547871690449027,0.644908800637911,0.0797242741532673,0.784016214158282,6.58420636331727,2.06355525896575
2005,0.491568164429489,0.813125919135183,0.217167409238808,1.05675826698066,6.31813595210279,2.20929434120743
2006,0.440314499859625,0.908038156809647,0.164492194396011,1.09895699871316,4.95517450721325,2.14062295915114
2007,0.227498236196344,0.876785806895234,0.0515922906856402,0.447752550313447,4.10211140447657,1.57842143422968
2008,0.243894649879837,0.618296913757956,0.242014721710358,0.967401890452682,6.71100398911422,2.6687399238264
2009,0.57901271857129,0.732897739249347,0.889753895151354,0.716278806855984,3.98783871663628,1.57780483043766
2010,0.298229247972508,0.454419434013035,0.0313433804853734,0.78804493938445,4.32337359285787,1.97824601053073
2011,0.388897531034921,0.358253716935695,0.17237017161059,0.772282851255139,3.90051446139656,1.75720880572994
2012,0.321544500475043,0.290000279323012,0.677566151389442,2.19221344398609,4.28369222004772,1.94855836298584
2014,0.371002542643913,0.672880440633839,0.257076938779295,0.983926992077792,4.17471632490062,2.06189921433013
2016,0.485231522034436,0.486226099636794,0.522678712724695,1.29122412971205,5.90472757027456,1.68112173987891
2019,0.882160297206351,0.511220224628755,0.232689717108572,1.59452583238964,5.45917835611083,1.66959484919531
2021,0.757772726598951,0.481506292283627,0.469843858014804,1.34552162632183,4.62398408825371,1.43739228500097
2023,0.460935036246647,0.435122297481457,0.240299498435639,2.16901887290813,6.17040286271878,2.18821434792169
