,U.S. Caribbean primary productivity
,Mean Chlorophyll a Concentration (mg per m^3)
,monthly anomalies
12-1997,0.207413444126916
01-1998,0.185356433322026
02-1998,0.169733152081545
03-1998,0.11828941163619
04-1998,0.121314960366495
05-1998,0.172632335045714
06-1998,0.185247150292338
07-1998,0.20271472484383
08-1998,0.246842604358238
09-1998,0.40520919821957
10-1998,0.312809936316922
11-1998,0.267795928442345
12-1998,0.216522267236346
01-1999,0.172890087439885
02-1999,0.175823554272073
03-1999,0.121917614579856
04-1999,0.146548084147031
05-1999,0.165146063325469
06-1999,0.178347645222734
07-1999,0.14568367094907
08-1999,0.142239345128489
09-1999,0.167530710583173
10-1999,0.168391894031462
11-1999,0.268786237608238
12-1999,0.190669452944524
01-2000,0.189420726806635
02-2000,0.138498889245319
03-2000,0.121750607400191
04-2000,0.125324649604268
05-2000,0.169290907225036
06-2000,0.299911436033907
07-2000,0.289204450526342
08-2000,0.236379586995625
09-2000,0.205754769998554
10-2000,0.194754801933912
11-2000,0.201990566327553
12-2000,0.17803239580106
01-2001,0.167616544371971
02-2001,0.149415631038351
03-2001,0.141733443697173
04-2001,0.129830427078244
05-2001,0.180115674893379
06-2001,0.214635283744742
07-2001,0.170371579921645
08-2001,0.210651695174312
09-2001,0.18744622850048
10-2001,0.206149720688255
11-2001,0.183057635176838
12-2001,0.188608027910491
01-2002,0.19665419335086
02-2002,0.151942779813039
03-2002,0.122052797384394
04-2002,0.127072099878307
05-2002,0.187086779356139
06-2002,0.240048750716786
07-2002,0.22591475212528
08-2002,0.229084875583259
09-2002,0.267364072887489
10-2002,0.252988028987025
11-2002,0.260656389595259
12-2002,0.244799872821413
01-2003,0.235041449372671
02-2003,0.204280206224699
03-2003,0.184079324184677
04-2003,0.212748332350267
05-2003,0.227843055883607
06-2003,0.329813131721751
07-2003,0.279576748853333
08-2003,0.211363477818625
09-2003,0.222328052355082
10-2003,0.220162044066311
11-2003,0.388390092606506
12-2003,0.287682122682483
01-2004,0.243159954488248
02-2004,0.217279410680142
03-2004,0.19734146580531
04-2004,0.17573046255
05-2004,0.233319670380062
06-2004,0.248653054711744
07-2004,0.313142513915743
08-2004,0.278091012398936
09-2004,0.358625116331261
10-2004,0.281264493731913
11-2004,0.276831425063527
12-2004,0.23981675401154
01-2005,0.266591469935886
02-2005,0.236141533449179
03-2005,0.151769051272046
04-2005,0.173316163451957
05-2005,0.196327656222321
06-2005,0.217345508723159
07-2005,0.250690401507993
