,Mean Enteroccocus count,Mean Enterococcus count
,Number per 100 mL,Number per 100 mL
,Puerto Rico,USVI
2006,,16.360151642797
2007,,12.392967032967
2008,66.0704225352113,25.1525646646208
2009,61.7046783625731,27.2275473217882
2010,68.3820598006645,34.9448419301165
2011,55.5538694992413,33.4307692307692
2012,51.1296703296703,35.4013878743609
2013,,30.4232465996452
2014,,27.5494200848656
2015,391.431137724551,49.0934080996885
2016,239.412739212007,48.5885885885886
2017,,56.6877593360996
2018,,63.3134628265238
2019,,22.6530157642221
2020,,84.2149635036496
2021,,92.6429511677282
2022,,82.3165680473373
2023,,108.959459459459
