,Total population,Total population
,Thousands of people,Thousands of people
,Puerto Rico,USVI
1990,3541.048,102.3075
1991,3573.6695,103.337
1992,3606.392,104.4185
1993,3637.2055,105.378
1994,3666.0785,106.2315
1995,3693.598,106.971
1996,3719.95,107.594
1997,3745.58,108.087
1998,3770.557,108.422
1999,3794.476,108.578
2000,3809.866,108.5785
2001,3813.013,108.5255
2002,3810.7125,108.4175
2003,3806.043,108.17
2004,3798.6565,107.8345
2005,3788.415,107.6065
2006,3776.215,107.45
2007,3763.0875,107.229
2008,3749.1275,106.96
2009,3735.0145,106.759
2010,3714.836,106.311
2011,3683.71,105.3905
2012,3646.422,104.298
2013,3606.769,103.1575
2014,3565.3665,101.9995
2015,3521.8115,100.2475
2016,3476.0075,97.787
2017,3371.8735,95.1175
2018,3290.068,92.3015
2019,3288.028,89.3725
2020,3275.805,87.7065
2021,3253.21,87.223
2022,3240.9685,86.507
2023,3242.0225,85.701
2024,3242.204,84.905
