,Lobster landings,Lobster landings,Lobster landings,Conch landings,Conch landings,Conch landings,Landings of all other species,Landings of all other species,Landings of all other species
,Thousands of pounds,Thousands of pounds,Thousands of pounds,Thousands of pounds,Thousands of pounds,Thousands of pounds,Thousands of pounds,Thousands of pounds,Thousands of pounds
,Puerto Rico,St. Thomas and St. John,St. Croix,Puerto Rico,St. Thomas and St. John,St. Croix,Puerto Rico,St. Thomas and St. John,St. Croix
2000,449.859,79.443,101.797,491.34,1.423,101.721,4738.06,595.884,654.433
2001,411.984,100.535,126.802,359.38,2.525,127.316,4192.418,694.06,909.116
2002,349.434,126.527,108.266,273.559,2.927,105.326,3168.998,705.08,850.836
2003,396.614,140.221,122.061,345.134,1.792,126.095,3486.872,639.353,749.783
2004,479.095,121.532,107.664,377.914,0.444,136.266,3147.746,663.81,778.849
2005,299.656,136.697,139.106,285.549,3.325,244.201,2154.811,599.309,971.912
2006,278.278,127.622,157.017,241.975,1.869,199.179,1885.338,637.683,958.284
2007,266.687,110.691,156.939,252.389,0.888,83.981,1638.009,588.119,795.621
2008,330.029,118.265,157.838,237.506,1.195,96.475,2862.278,584.94,824.669
2009,323.488,113.569,131.619,273.473,1.591,72.914,2245.624,586.77,535.044
2010,290.024,99.709,155.984,273.136,1.628,71.245,2235.735,439.258,555.361
2011,273.146,83.319,85.149,234.9,1.157,33.215,1530.641,336.524,392.432
2012,383.906,81.995,73.77,372.642,0,26.466,1962.607,282.411,393.447
2013,276.266,87.581,53.3,313.661,0.357,25.35,1299.409,291.071,381.188
2014,297.326,101.843,36.409,226.168,0.258,17.988,1439.335,302.278,288.853
2015,418.671,116.58,35.903,304.11,0.431,28.554,1635.988,288.417,318.406
2016,446.396,122.486,31.675,350.692,1.54,45.148,1561.716,340.605,413.448
2017,282.559,72.552,20.574,303.217,3.733,15.255,1171.484,203.459,202.198
2018,518.614,93.29,11.109,394.74,0,22.525,1482.678,264.141,51.881
2019,487.891,91.86,15.259,203.563,0,12.846,1771.229,222.003,151.761
2020,298.799,105.934,30.618,91.211,,32.401,1103.795,237.374,223.421
2021,416.298,96.291,31.776,126.065,0.468,18.888,1546.388,212.592,257.556
2022,534.212,116.531,38.84,180.567,0.238,36.026,1867.522,182.466,184.877
2023,616.202,125.827,35.158,180.282,,30.242,1766.7,183.174,149.905
