,Turbidity from ocean color data,Turbidity from ocean color data,Turbidity from ocean color data
,Diffuse attenuation coefficient
 at 490 nm (m^-1),Diffuse attenuation coefficient
 at 490 nm (m^-1),Diffuse attenuation coefficient
 at 490 nm (m^-1)
,Puerto Rico,St. Thomas and St. John,St. Croix
01-2012,0.0594347458316992,0.0568301374322339,0.0425981981428088
02-2012,0.0532428208380912,0.0452273972332478,0.0385431195481108
03-2012,0.0524089116979815,0.0384347825378611,0.032018000036478
04-2012,0.0468415739803461,0.0420742856604712,0.0410418182780797
05-2012,0.053739273432436,0.0368338028677333,0.0361536843800231
06-2012,0.0457295337225438,0.037273239554234,0.0444018868905193
07-2012,0.0469174104598485,0.0457342858559319,0.0462280001863837
08-2012,0.0621160070496818,0.0524849315518386,0.0474145455455238
09-2012,0.0560409907175246,0.0496611113970478,0.0448990823923174
10-2012,0.0603327660754006,0.0519095891959047,0.0444091743695627
11-2012,0.0619282443708313,0.050121621555976,0.0442660716694913
12-2012,0.0570736396582607,0.0515753427290753,0.0468660716100463
01-2013,0.0576283293092928,0.0594447370569565,0.043796428495885
02-2013,0.05084949167982,0.0505813332895438,0.0393785713905735
03-2013,0.0486720613262646,0.0484586664537589,0.0402410718046927
04-2013,0.0472187285545151,0.0397726028953513,0.0424360360883109
05-2013,0.0472656277705839,0.0391457142840539,0.0437618182633411
06-2013,0.0469052510242583,0.0367661538318946,0.0374769232211969
07-2013,0.0548441961571023,0.0487746480380146,0.0537270833738148
08-2013,0.0531081615291502,0.0531058825333329,0.0590934577250035
09-2013,0.0592605488991451,0.0554056341274523,0.0523109092292461
10-2013,0.0518866725560672,0.0495305560115311,0.0465207550112369
11-2013,0.0693347009869977,0.0594493152242001,0.0524803571003888
12-2013,0.0671643768583343,0.0577105263150052,0.0501828575772899
01-2014,0.0606940780859283,0.0564594597530526,0.0500107138983107
02-2014,0.0492930391357487,0.0538800001392762,0.0404375003085339
03-2014,0.0446011895961116,0.0490162163419095,0.0386821431373911
04-2014,0.0410095891255043,0.0412055557697184,0.0410000000920919
