,Unemployment rate,Unemployment rate
,Percent,Percent
,Puerto Rico,USVI
1986Feb,20.1,2.25
1986Mar,20,2.606
1986Apr,19.8,2.5725
1986May,19.5,2.178
1986Jun,19.1,2.0875
1986Jul,18.6,2.0075
1986Aug,18.2,2.02
1986Sep,18,1.75
1986Oct,17.8,1.7275
1986Nov,17.7,1.544
1986Dec,17.8,1.4025
1987Jan,17.8,1.36
1987Feb,17.7,1.3725
1987Mar,17.6,1.4
1987Apr,17.4,1.3025
1987May,17.1,1.192
1987Jun,16.8,1.08
1987Jul,16.5,1.045
1987Aug,16.2,1.02
1987Sep,16.1,0.985
1987Oct,16.1,0.84
1987Nov,16.1,0.755
1987Dec,16.2,0.6925
1988Jan,16.1,0.728
1988Feb,16,0.6825
1988Mar,15.8,0.645
1988Apr,15.4,0.7
1988May,15.1,0.8875
1988Jun,14.9,1.155
1988Jul,14.7,2.05
1988Aug,14.5,1.99
1988Sep,14.4,1.8675
1988Oct,14.4,1.784
1988Nov,14.4,1.32
1988Dec,14.4,1.19
1989Jan,14.4,1.05
1989Feb,14.4,0.9
1989Mar,14.4,0.7375
1989Apr,14.4,0.754
1989May,14.5,0.86
1989Jun,14.7,0.9125
1989Jul,14.8,1.054
1989Aug,14.9,1.1
1989Sep,14.9,0.688
1989Oct,14.8,2.325
1989Nov,14.6,4.22
1989Dec,14.4,4.278
1990Jan,14.3,2.9225
1990Feb,14.3,1.8875
1990Mar,14.2,1.57
1990Apr,14.2,0.935
1990May,14.1,0.6225
1990Jun,14.1,0.54
1990Jul,14.1,0.705
1990Aug,14.2,0.6775
1990Sep,14.4,0.688
1990Oct,14.6,0.7125
1990Nov,14.9,0.6675
1990Dec,15.1,0.658
1991Jan,15.4,0.625
1991Feb,15.6,0.9425
1991Mar,15.8,0.9
1991Apr,16,1.0175
1991May,16,1.1525
1991Jun,16,1.14
1991Jul,15.9,1.335
1991Aug,15.9,1.39
1991Sep,16,1.4175
1991Oct,16.2,1.59
1991Nov,16.5,2.096
1991Dec,16.8,1.33
1992Jan,17,1.76
1992Feb,17.1,2.25
1992Mar,17.1,1.7725
1992Apr,16.9,1.6125
1992May,16.8,1.808
1992Jun,16.7,1.78
1992Jul,16.6,1.7275
1992Aug,16.5,1.688
1992Sep,16.4,1.8875
1992Oct,16.3,2.008
1992Nov,16.4,1.75
1992Dec,16.6,1.5375
1993Jan,16.8,1.466
1993Feb,17.1,1.3275
1993Mar,17.2,1.2525
1993Apr,17.3,1.2175
1993May,17.3,1.33
1993Jun,17.3,1.5525
1993Jul,17.2,1.678
1993Aug,17.1,1.7875
1993Sep,17,2.005
1993Oct,16.8,2.328
1993Nov,16.6,3.5875
1993Dec,16.3,3.55
1994Jan,15.9,4.034
1994Feb,15.6,4.4475
1994Mar,15.2,4.2275
1994Apr,14.8,4.292
1994May,14.5,3.785
1994Jun,14.3,3.35
1994Jul,14.2,2.778
1994Aug,14.2,2.4925
1994Sep,14.1,2.305
1994Oct,14,2.274
1994Nov,13.8,2.1275
1994Dec,13.7,1.878
1995Jan,13.6,2.0925
1995Feb,13.5,2.1375
1995Mar,13.5,2.155
1995Apr,13.6,2.118
1995May,13.7,2.285
1995Jun,13.8,2.455
1995Jul,13.9,2.714
1995Aug,13.9,2.5925
1995Sep,13.9,1.922
1995Oct,13.8,2.095
1995Nov,13.7,5.1725
1995Dec,13.5,3.946
1996Jan,13.3,4.23
1996Feb,13.4,4.0125
1996Mar,13.6,3.248
1996Apr,13.9,2.5425
1996May,14.2,1.86
1996Jun,14.4,1.406
1996Jul,14.3,1.5975
1996Aug,13.9,1.6
1996Sep,13.3,1.4575
